Match: rule-set 'v1.1-baseline'  games=2000  depth=8  max-plies=600  openings=2000x6plies  seed=20260425  parallel=4
  [w3]  #240  0-1     Party extinct                        96 plies    4.4s  (248/2000)
  [w2]  #251  0-1     Party extinct                       190 plies    8.3s  (249/2000)
  [w0]  #225  1-0     Treasure checkmated or captured     439 plies   18.8s  (250/2000)
  [w1]  #282  *       ply cap (600)                       600 plies   25.5s  (251/2000)
  [w2]  #255  1-0     Treasure checkmated or captured     291 plies   12.5s  (252/2000)
  [w2]  #259  1-0     Treasure checkmated or captured      85 plies    3.8s  (253/2000)
  [w2]  #263  0-1     Party extinct                       178 plies    8.0s  (254/2000)
  [w3]  #244  *       ply cap (600)                       600 plies   25.5s  (255/2000)
  [w0]  #229  1-0     Treasure checkmated or captured     503 plies   21.6s  (256/2000)
  [w0]  #233  0-1     Party extinct                       134 plies    5.9s  (257/2000)
  [w2]  #267  1-0     Treasure checkmated or captured     187 plies    8.2s  (258/2000)
  [w1]  #286  *       ply cap (600)                       600 plies   25.5s  (259/2000)
  [w3]  #248  1-0     Treasure checkmated or captured     333 plies   14.3s  (260/2000)
  [w2]  #271  0-1     Party extinct                       228 plies    9.9s  (261/2000)
  [w0]  #237  1-0     Treasure checkmated or captured     345 plies   14.8s  (262/2000)
  [w3]  #252  0-1     Party extinct                       218 plies    9.4s  (263/2000)
  [w2]  #275  0-1     Party extinct                       222 plies    9.6s  (264/2000)
  [w0]  #241  0-1     Party extinct                       172 plies    7.6s  (265/2000)
  [w0]  #245  0-1     Party extinct                        96 plies    4.4s  (266/2000)
  [w1]  #290  *       ply cap (600)                       600 plies   25.4s  (267/2000)
  [w3]  #256  1-0     Treasure checkmated or captured     345 plies   15.0s  (268/2000)
  [w2]  #279  0-1     Party extinct                       314 plies   13.8s  (269/2000)
  [w1]  #294  1-0     Treasure checkmated or captured     171 plies    7.6s  (270/2000)
  [w0]  #249  1-0     Treasure checkmated or captured     199 plies    8.6s  (271/2000)
  [w1]  #298  0-1     Party extinct                        90 plies    4.1s  (272/2000)
  [w0]  #253  0-1     Party has no legal response         108 plies    4.8s  (273/2000)
  [w2]  #283  0-1     Party extinct                       154 plies    6.8s  (274/2000)
  [w3]  #260  0-1     Party extinct                       242 plies   10.4s  (275/2000)
  [w1]  #302  1-0     Treasure checkmated or captured     207 plies    9.0s  (276/2000)
  [w3]  #264  1-0     Treasure checkmated or captured     187 plies    8.4s  (277/2000)
  [w0]  #257  0-1     Party extinct                       412 plies   17.5s  (278/2000)
  [w1]  #306  0-1     Party extinct                       266 plies   11.5s  (279/2000)
  [w3]  #268  1-0     Treasure checkmated or captured     205 plies    9.2s  (280/2000)
  [w3]  #272  0-1     Party has no legal response          74 plies    3.4s  (281/2000)
  [w1]  #310  0-1     Party extinct                       104 plies    4.7s  (282/2000)
  [w2]  #287  *       ply cap (600)                       600 plies   25.5s  (283/2000)
  [w3]  #276  0-1     Party extinct                       158 plies    7.1s  (284/2000)
  [w1]  #314  0-1     Party extinct                       192 plies    8.3s  (285/2000)
  [w2]  #291  0-1     Party extinct                       136 plies    6.0s  (286/2000)
  [w2]  #295  1-0     Treasure checkmated or captured      99 plies    4.6s  (287/2000)
  [w3]  #280  1-0     Treasure checkmated or captured     193 plies    8.4s  (288/2000)
  [w0]  #261  *       ply cap (600)                       600 plies   25.7s  (289/2000)
  [w1]  #318  0-1     Party extinct                       266 plies   11.5s  (290/2000)
  [w3]  #284  0-1     Party extinct                       218 plies    9.4s  (291/2000)
  [w2]  #299  0-1     Party extinct                       316 plies   13.6s  (292/2000)
  [w0]  #265  1-0     Treasure checkmated or captured     253 plies   10.9s  (293/2000)
  [w2]  #303  1-0     Treasure checkmated or captured     261 plies   11.3s  (294/2000)
  [w0]  #269  1-0     Treasure checkmated or captured     201 plies    8.9s  (295/2000)
  [w3]  #288  1-0     Treasure checkmated or captured     371 plies   16.0s  (296/2000)
  [w2]  #307  0-1     Party extinct                       158 plies    6.9s  (297/2000)
  [w1]  #322  *       ply cap (600)                       600 plies   25.7s  (298/2000)
  [w0]  #273  1-0     Treasure checkmated or captured     279 plies   12.1s  (299/2000)
  [w2]  #311  0-1     Party extinct                       160 plies    7.3s  (300/2000)
  [w1]  #326  0-1     Party extinct                       218 plies    9.5s  (301/2000)
  [w2]  #315  0-1     Party extinct                        76 plies    3.5s  (302/2000)
  [w3]  #292  1-0     Treasure checkmated or captured     367 plies   15.7s  (303/2000)
  [w0]  #277  0-1     Party extinct                       208 plies    9.1s  (304/2000)
  [w3]  #296  1-0     Treasure checkmated or captured     135 plies    5.9s  (305/2000)
  [w0]  #281  0-1     Party extinct                        84 plies    3.8s  (306/2000)
  [w2]  #319  1-0     Treasure checkmated or captured     403 plies   17.2s  (307/2000)
  [w0]  #285  0-1     Party extinct                       230 plies   10.5s  (308/2000)
  [w3]  #300  1-0     Treasure checkmated or captured     299 plies   13.3s  (309/2000)
  [w3]  #304  1-0     Treasure checkmated or captured      31 plies    1.6s  (310/2000)
  [w2]  #323  1-0     Treasure checkmated or captured     133 plies    6.0s  (311/2000)
  [w1]  #330  *       ply cap (600)                       600 plies   25.4s  (312/2000)
  [w0]  #289  1-0     Treasure checkmated or captured     173 plies    7.6s  (313/2000)
  [w2]  #327  0-1     Party extinct                       136 plies    6.0s  (314/2000)
  [w1]  #334  0-1     Party extinct                       140 plies    6.1s  (315/2000)
  [w0]  #293  1-0     Treasure checkmated or captured     233 plies   10.0s  (316/2000)
  [w1]  #338  1-0     Treasure checkmated or captured     133 plies    6.1s  (317/2000)
  [w3]  #308  1-0     Treasure checkmated or captured     377 plies   16.1s  (318/2000)
  [w2]  #331  0-1     Party extinct                       192 plies    8.3s  (319/2000)
  [w2]  #335  1-0     Treasure checkmated or captured       1 plies    0.3s  (320/2000)
  [w0]  #297  0-1     Party extinct                       178 plies    7.8s  (321/2000)
  [w3]  #312  1-0     Treasure checkmated or captured     171 plies    7.5s  (322/2000)
  [w2]  #339  1-0     Treasure checkmated or captured     177 plies    7.8s  (323/2000)
  [w3]  #316  0-1     Party extinct                       110 plies    4.9s  (324/2000)
  [w0]  #301  0-1     Party extinct                       272 plies   12.2s  (325/2000)
  [w3]  #320  0-1     Party extinct                       204 plies    9.1s  (326/2000)
  [w1]  #342  *       ply cap (600)                       600 plies   25.5s  (327/2000)
  [w0]  #305  0-1     Party extinct                       210 plies    9.3s  (328/2000)
  [w1]  #346  1-0     Treasure checkmated or captured     119 plies    5.2s  (329/2000)
  [w3]  #324  0-1     Party extinct                       208 plies    9.7s  (330/2000)
  [w2]  #343  *       ply cap (600)                       600 plies   25.5s  (331/2000)
  [w1]  #350  1-0     Treasure checkmated or captured     121 plies    5.4s  (332/2000)
  [w0]  #309  0-1     Party extinct                       182 plies    7.9s  (333/2000)
  [w1]  #354  0-1     Party extinct                        88 plies    4.0s  (334/2000)
  [w0]  #313  0-1     Party extinct                       172 plies    7.7s  (335/2000)
  [w1]  #358  1-0     Treasure checkmated or captured     191 plies    8.8s  (336/2000)
  [w0]  #317  1-0     Treasure checkmated or captured     265 plies   11.6s  (337/2000)
  [w3]  #328  *       ply cap (600)                       600 plies   25.6s  (338/2000)
  [w1]  #362  0-1     Party extinct                       196 plies    9.2s  (339/2000)
  [w2]  #347  *       ply cap (600)                       600 plies   25.4s  (340/2000)
  [w1]  #366  0-1     Party has no legal response          42 plies    2.1s  (341/2000)
  [w3]  #332  1-0     Treasure checkmated or captured      97 plies    4.3s  (342/2000)
  [w0]  #321  0-1     Party extinct                       196 plies    8.7s  (343/2000)
  [w1]  #370  0-1     Party extinct                       100 plies    4.5s  (344/2000)
  [w3]  #336  1-0     Treasure checkmated or captured     183 plies    8.0s  (345/2000)
  [w0]  #325  0-1     Party extinct                       162 plies    7.1s  (346/2000)
