Match: rule-set 'v1.1-baseline'  games=500  depth=8  max-plies=600  openings=500x6plies  seed=20260424  parallel=4
  [w1]  #238  0-1     Party extinct                       308 plies   13.3s  (241/500)
  [w3]  #244  1-0     Treasure checkmated or captured     295 plies   12.7s  (242/500)
  [w0]  #241  0-1     Party extinct                       184 plies    8.1s  (243/500)
  [w2]  #247  1-0     Treasure checkmated or captured     237 plies   10.4s  (244/500)
  [w0]  #245  0-1     Party extinct                       192 plies    8.4s  (245/500)
  [w3]  #248  0-1     Party extinct                       376 plies   16.1s  (246/500)
  [w2]  #251  0-1     Party extinct                       326 plies   14.3s  (247/500)
  [w0]  #249  1-0     Treasure checkmated or captured     203 plies    9.0s  (248/500)
  [w1]  #242  *       ply cap (600)                       600 plies   25.4s  (249/500)
  [w0]  #253  1-0     Treasure checkmated or captured      89 plies    4.1s  (250/500)
  [w3]  #252  1-0     Treasure checkmated or captured     279 plies   12.0s  (251/500)
  [w1]  #246  0-1     Party extinct                       104 plies    4.7s  (252/500)
  [w2]  #255  1-0     Treasure checkmated or captured     231 plies   10.0s  (253/500)
  [w0]  #257  1-0     Treasure checkmated or captured     159 plies    7.0s  (254/500)
  [w2]  #259  0-1     Party extinct                        92 plies    4.2s  (255/500)
  [w3]  #256  0-1     Party extinct                       242 plies   10.5s  (256/500)
  [w0]  #261  1-0     Treasure checkmated or captured     157 plies    7.2s  (257/500)
  [w1]  #250  1-0     Treasure checkmated or captured     263 plies   11.3s  (258/500)
  [w0]  #265  1-0     Treasure checkmated or captured     129 plies    5.8s  (259/500)
  [w2]  #263  0-1     Party extinct                       290 plies   12.7s  (260/500)
  [w0]  #269  1-0     Treasure checkmated or captured     137 plies    6.1s  (261/500)
  [w3]  #260  0-1     Party extinct                       312 plies   13.4s  (262/500)
  [w3]  #264  0-1     Party has no legal response          24 plies    1.3s  (263/500)
  [w3]  #268  1-0     Treasure checkmated or captured     115 plies    5.2s  (264/500)
  [w1]  #254  1-0     Treasure checkmated or captured     477 plies   20.6s  (265/500)
  [w2]  #267  0-1     Party extinct                       356 plies   15.2s  (266/500)
  [w3]  #272  0-1     Party extinct                        72 plies    3.3s  (267/500)
  [w0]  #273  0-1     Party extinct                       252 plies   10.9s  (268/500)
  [w3]  #276  1-0     Treasure checkmated or captured     217 plies    9.4s  (269/500)
  [w0]  #277  0-1     Party extinct                       318 plies   13.7s  (270/500)
  [w3]  #280  0-1     Party extinct                       274 plies   11.9s  (271/500)
  [w1]  #258  *       ply cap (600)                       600 plies   25.5s  (272/500)
  [w2]  #271  *       ply cap (600)                       600 plies   25.5s  (273/500)
