Match: rule-set 'v6-d8-minion-6-striker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  [w3]  #248  *       ply cap (600)                       600 plies   25.6s  (240/300)
  [w0]  #237  1-0     Treasure checkmated or captured     215 plies    9.4s  (241/300)
  [w2]  #223  0-1     Party extinct                       460 plies   19.6s  (242/300)
  [w1]  #258  *       ply cap (600)                       600 plies   25.4s  (243/300)
  [w0]  #241  0-1     Party extinct                       182 plies    8.0s  (244/300)
  [w0]  #245  1-0     Treasure checkmated or captured     185 plies    8.1s  (245/300)
  [w1]  #262  0-1     Party extinct                       364 plies   15.6s  (246/300)
  [w0]  #249  1-0     Treasure checkmated or captured     151 plies    6.6s  (247/300)
  [w3]  #252  *       ply cap (600)                       600 plies   25.5s  (248/300)
  [w2]  #227  0-1     Party extinct                       548 plies   23.3s  (249/300)
  [w0]  #253  1-0     Treasure checkmated or captured     145 plies    6.4s  (250/300)
  [w2]  #231  0-1     Party extinct                       306 plies   13.2s  (251/300)
  [w0]  #257  0-1     Party extinct                       356 plies   15.3s  (252/300)
  [w1]  #266  *       ply cap (600)                       600 plies   25.5s  (253/300)
  [w3]  #256  *       ply cap (600)                       600 plies   25.5s  (254/300)
  [w0]  #261  1-0     Treasure checkmated or captured     209 plies    9.1s  (255/300)
  [w1]  #270  0-1     Party extinct                       274 plies   11.9s  (256/300)
  [w2]  #235  *       ply cap (600)                       600 plies   25.5s  (257/300)
  [w3]  #260  0-1     Party extinct                       598 plies   25.5s  (258/300)
  [w0]  #265  *       ply cap (600)                       600 plies   25.5s  (259/300)
  [w1]  #274  *       ply cap (600)                       600 plies   25.5s  (260/300)
  [w3]  #264  1-0     Treasure checkmated or captured     337 plies   14.5s  (261/300)
  [w2]  #239  *       ply cap (600)                       600 plies   25.5s  (262/300)
  [w0]  #269  *       ply cap (600)                       600 plies   25.5s  (263/300)
  [w1]  #278  *       ply cap (600)                       600 plies   25.5s  (264/300)
  [w2]  #243  0-1     Party extinct                       442 plies   18.9s  (265/300)
  [w3]  #268  *       ply cap (600)                       600 plies   25.5s  (266/300)
  [w1]  #282  0-1     Party extinct                       180 plies    7.8s  (267/300)
  [w3]  #272  0-1     Party extinct                       226 plies    9.9s  (268/300)
  [w0]  #273  *       ply cap (600)                       600 plies   25.5s  (269/300)
  [w2]  #247  *       ply cap (600)                       600 plies   25.4s  (270/300)
  [w2]  #251  0-1     Party has no legal response          58 plies    2.8s  (271/300)
  [w1]  #286  *       ply cap (600)                       600 plies   25.5s  (272/300)
  [w2]  #255  0-1     Party extinct                       114 plies    5.1s  (273/300)
  [w3]  #276  *       ply cap (600)                       600 plies   25.5s  (274/300)
  [w1]  #290  0-1     Party extinct                       232 plies   10.0s  (275/300)
  [w0]  #277  *       ply cap (600)                       600 plies   25.5s  (276/300)
  [w2]  #259  *       ply cap (600)                       600 plies   25.5s  (277/300)
  [w0]  #281  0-1     Party extinct                       384 plies   16.5s  (278/300)
  [w3]  #280  *       ply cap (600)                       600 plies   25.5s  (279/300)
  [w2]  #263  1-0     Treasure checkmated or captured     151 plies    6.7s  (280/300)
  [w1]  #294  *       ply cap (600)                       600 plies   25.5s  (281/300)
  [w0]  #285  0-1     Party extinct                       210 plies    9.1s  (282/300)
  [w3]  #284  1-0     Treasure checkmated or captured     171 plies    7.5s  (283/300)
  [w1]  #298  1-0     Treasure checkmated or captured     179 plies    7.8s  (284/300)
  [w0]  #289  0-1     Party extinct                       350 plies   15.0s  (285/300)
  [w2]  #267  *       ply cap (600)                       600 plies   25.5s  (286/300)
  [w3]  #288  *       ply cap (600)                       600 plies   25.6s  (287/300)
