Match: rule-set 'v6-d8-minion-6-shortcap'  games=300  depth=8  max-plies=400  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v6-d8-minion-6-shortcap-66686-a95843f14944435aa272f3e0cd659660.ini
  startFen : 4abtba3/2mubmbu4/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w3]  #260  *       ply cap (400)                       400 plies   17.8s  (233/300)
  [w2]  #243  *       ply cap (400)                       400 plies   17.8s  (234/300)
  [w0]  #201  *       ply cap (400)                       400 plies   17.8s  (235/300)
  [w1]  #234  0-1     Party extinct                       316 plies   14.2s  (236/300)
  [w3]  #264  *       ply cap (400)                       400 plies   17.8s  (237/300)
  [w2]  #247  *       ply cap (400)                       400 plies   17.8s  (238/300)
  [w0]  #205  *       ply cap (400)                       400 plies   17.8s  (239/300)
  [w1]  #238  *       ply cap (400)                       400 plies   17.8s  (240/300)
  [w3]  #268  0-1     Party extinct                       344 plies   15.3s  (241/300)
  [w2]  #251  *       ply cap (400)                       400 plies   17.7s  (242/300)
  [w0]  #209  0-1     Party extinct                       388 plies   17.3s  (243/300)
  [w1]  #242  1-0     Treasure checkmated or captured     295 plies   13.3s  (244/300)
  [w3]  #272  *       ply cap (400)                       400 plies   17.9s  (245/300)
  [w3]  #276  1-0     Treasure checkmated or captured      35 plies    1.9s  (246/300)
  [w2]  #255  *       ply cap (400)                       400 plies   17.8s  (247/300)
  [w0]  #213  1-0     Treasure checkmated or captured     377 plies   16.8s  (248/300)
  [w1]  #246  *       ply cap (400)                       400 plies   17.8s  (249/300)
  [w3]  #280  *       ply cap (400)                       400 plies   17.9s  (250/300)
  [w2]  #259  *       ply cap (400)                       400 plies   17.8s  (251/300)
  [w0]  #217  1-0     Treasure checkmated or captured     359 plies   16.0s  (252/300)
  [w1]  #250  *       ply cap (400)                       400 plies   17.9s  (253/300)
  [w2]  #263  0-1     Party extinct                       160 plies    7.3s  (254/300)
  [w0]  #221  1-0     Treasure checkmated or captured     225 plies   10.2s  (255/300)
  [w3]  #284  1-0     Treasure checkmated or captured     367 plies   16.4s  (256/300)
  [w1]  #254  1-0     Treasure checkmated or captured     355 plies   15.9s  (257/300)
  [w2]  #267  *       ply cap (400)                       400 plies   17.8s  (258/300)
  [w3]  #288  0-1     Party extinct                       260 plies   11.7s  (259/300)
  [w0]  #225  *       ply cap (400)                       400 plies   17.8s  (260/300)
  [w1]  #258  0-1     Party extinct                       292 plies   13.1s  (261/300)
  [w3]  #292  0-1     Party extinct                       164 plies    7.5s  (262/300)
  [w2]  #271  1-0     Treasure checkmated or captured     237 plies   10.7s  (263/300)
  [w0]  #229  0-1     Party extinct                       240 plies   10.8s  (264/300)
  [w0]  #233  0-1     Party extinct                       154 plies    7.1s  (265/300)
  [w1]  #262  *       ply cap (400)                       400 plies   17.8s  (266/300)
  [w2]  #275  0-1     Party extinct                       346 plies   15.5s  (267/300)
  [w3]  #296  *       ply cap (400)                       400 plies   17.8s  (268/300)
  [w1]  #266  0-1     Party extinct                       290 plies   13.0s  (269/300)
  [w0]  #237  *       ply cap (400)                       400 plies   17.8s  (270/300)
  [w2]  #279  *       ply cap (400)                       400 plies   17.6s  (271/300)
  [w3]  #300  *       ply cap (400)                       400 plies   17.5s  (272/300)
  [w1]  #270  0-1     Party extinct                       158 plies    7.0s  (273/300)
  [w0]  #241  *       ply cap (400)                       400 plies   17.1s  (274/300)
  [w2]  #283  *       ply cap (400)                       400 plies   17.2s  (275/300)
  [w1]  #274  *       ply cap (400)                       400 plies   17.1s  (276/300)
  [w0]  #245  0-1     Party extinct                       196 plies    8.6s  (277/300)
  [w2]  #287  *       ply cap (400)                       400 plies   17.1s  (278/300)
  [w1]  #278  *       ply cap (400)                       400 plies   17.1s  (279/300)
  [w0]  #249  *       ply cap (400)                       400 plies   17.1s  (280/300)
  [w2]  #291  *       ply cap (400)                       400 plies   17.2s  (281/300)
  [w1]  #282  *       ply cap (400)                       400 plies   17.1s  (282/300)
  [w0]  #253  *       ply cap (400)                       400 plies   17.1s  (283/300)
  [w0]  #257  1-0     Treasure checkmated or captured       1 plies    0.3s  (284/300)
  [w1]  #286  0-1     Party has no legal response          72 plies    3.3s  (285/300)
