Match: rule-set 'v6-d8-minion-6-lurker-n-plus'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  [w2]  #115  1-0     Treasure checkmated or captured     171 plies    7.5s  (138/300)
  [w0]  #157  1-0     Treasure checkmated or captured     133 plies    5.9s  (139/300)
  [w2]  #119  0-1     Party has no legal response         152 plies    6.7s  (140/300)
  [w1]  #170  *       ply cap (600)                       600 plies   25.5s  (141/300)
  [w3]  #116  1-0     Treasure checkmated or captured     419 plies   17.9s  (142/300)
  [w0]  #161  1-0     Treasure checkmated or captured     193 plies    8.4s  (143/300)
  [w2]  #123  1-0     Treasure checkmated or captured     231 plies   10.0s  (144/300)
  [w1]  #174  1-0     Treasure checkmated or captured     191 plies    8.3s  (145/300)
  [w3]  #120  1-0     Treasure checkmated or captured     169 plies    7.4s  (146/300)
  [w2]  #127  1-0     Treasure checkmated or captured     135 plies    6.0s  (147/300)
  [w0]  #165  *       ply cap (600)                       600 plies   25.7s  (148/300)
  [w1]  #178  *       ply cap (600)                       600 plies   25.6s  (149/300)
  [w3]  #124  *       ply cap (600)                       600 plies   25.6s  (150/300)
  [w2]  #131  *       ply cap (600)                       600 plies   25.6s  (151/300)
  [w1]  #182  0-1     Party extinct                       160 plies    7.0s  (152/300)
  [w3]  #128  1-0     Treasure checkmated or captured     121 plies    5.4s  (153/300)
  [w1]  #186  0-1     Party has no legal response         200 plies    8.7s  (154/300)
  [w3]  #132  1-0     Treasure checkmated or captured     261 plies   11.3s  (155/300)
  [w0]  #169  *       ply cap (600)                       600 plies   25.6s  (156/300)
  [w2]  #135  *       ply cap (600)                       600 plies   25.5s  (157/300)
  [w0]  #173  1-0     Treasure checkmated or captured     233 plies   10.1s  (158/300)
  [w0]  #177  1-0     Treasure checkmated or captured      49 plies    2.3s  (159/300)
  [w1]  #190  1-0     Treasure checkmated or captured     591 plies   25.1s  (160/300)
  [w2]  #139  1-0     Treasure checkmated or captured     261 plies   11.2s  (161/300)
