Match: rule-set 'v7-d8-spsa-base-best'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260426  parallel=4
  [w3]  #148  0-1     Party extinct                       200 plies    8.8s  (149/300)
  [w1]  #138  1-0     Treasure checkmated or captured     127 plies    5.7s  (150/300)
  [w0]  #141  1-0     Treasure checkmated or captured     471 plies   20.1s  (151/300)
  [w2]  #175  1-0     Treasure checkmated or captured     191 plies    8.3s  (152/300)
  [w0]  #145  0-1     Party has no legal response          56 plies    2.7s  (153/300)
  [w1]  #142  1-0     Treasure checkmated or captured     161 plies    7.1s  (154/300)
  [w3]  #152  0-1     Party extinct                       304 plies   13.0s  (155/300)
  [w2]  #179  1-0     Treasure checkmated or captured     247 plies   10.7s  (156/300)
  [w0]  #149  1-0     Treasure checkmated or captured     271 plies   11.7s  (157/300)
  [w3]  #156  0-1     Party extinct                       274 plies   11.8s  (158/300)
  [w2]  #183  0-1     Party extinct                       272 plies   11.8s  (159/300)
  [w3]  #160  1-0     Treasure checkmated or captured     215 plies    9.4s  (160/300)
  [w1]  #146  *       ply cap (600)                       600 plies   25.5s  (161/300)
  [w3]  #164  0-1     Party extinct                       100 plies    4.6s  (162/300)
  [w2]  #187  1-0     Treasure checkmated or captured     239 plies   10.4s  (163/300)
  [w1]  #150  1-0     Treasure checkmated or captured     215 plies    9.4s  (164/300)
  [w2]  #191  0-1     Party has no legal response         122 plies    5.5s  (165/300)
  [w0]  #153  *       ply cap (600)                       600 plies   25.5s  (166/300)
  [w3]  #168  0-1     Party extinct                       256 plies   11.1s  (167/300)
  [w1]  #154  0-1     Party extinct                       192 plies    8.4s  (168/300)
  [w2]  #195  0-1     Party extinct                       190 plies    8.3s  (169/300)
  [w2]  #199  0-1     Party extinct                       106 plies    4.8s  (170/300)
  [w3]  #172  0-1     Party extinct                       288 plies   12.4s  (171/300)
  [w0]  #157  0-1     Party extinct                       444 plies   18.9s  (172/300)
  [w1]  #158  0-1     Party extinct                       350 plies   15.0s  (173/300)
  [w3]  #176  0-1     Party extinct                       200 plies    8.7s  (174/300)
  [w0]  #161  1-0     Treasure checkmated or captured     215 plies    9.3s  (175/300)
  [w3]  #180  1-0     Treasure checkmated or captured     187 plies    8.2s  (176/300)
  [w1]  #162  1-0     Treasure checkmated or captured     283 plies   12.2s  (177/300)
  [w2]  #203  *       ply cap (600)                       600 plies   25.5s  (178/300)
  [w1]  #166  1-0     Treasure checkmated or captured      79 plies    3.9s  (179/300)
  [w3]  #184  0-1     Party extinct                       170 plies    7.5s  (180/300)
  [w0]  #165  0-1     Party extinct                       280 plies   12.1s  (181/300)
