Match: rule-set 'v7-d8-spsa-final-iterate'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260427  parallel=4
  [w0]  #209  1-0     Treasure checkmated or captured     149 plies    6.6s  (193/300)
  [w1]  #206  0-1     Party extinct                       206 plies    9.0s  (194/300)
  [w2]  #191  *       ply cap (600)                       600 plies   25.5s  (195/300)
  [w3]  #172  1-0     Treasure checkmated or captured     171 plies    7.5s  (196/300)
  [w0]  #213  1-0     Treasure checkmated or captured     211 plies    9.2s  (197/300)
  [w1]  #210  0-1     Party extinct                       192 plies    8.4s  (198/300)
  [w2]  #195  0-1     Party extinct                       206 plies    9.0s  (199/300)
  [w3]  #176  0-1     Party extinct                       286 plies   12.3s  (200/300)
  [w0]  #217  0-1     Party extinct                       244 plies   10.6s  (201/300)
  [w2]  #199  1-0     Treasure checkmated or captured     191 plies    8.3s  (202/300)
  [w1]  #214  0-1     Party extinct                       246 plies   10.7s  (203/300)
  [w2]  #203  0-1     Party has no legal response          64 plies    3.0s  (204/300)
  [w0]  #221  1-0     Treasure checkmated or captured     103 plies    4.6s  (205/300)
  [w3]  #180  1-0     Treasure checkmated or captured     255 plies   11.0s  (206/300)
  [w0]  #225  0-1     Party extinct                       168 plies    7.4s  (207/300)
  [w1]  #218  1-0     Treasure checkmated or captured     253 plies   10.9s  (208/300)
  [w2]  #207  0-1     Party extinct                       318 plies   13.7s  (209/300)
  [w3]  #184  1-0     Treasure checkmated or captured     177 plies    7.8s  (210/300)
  [w1]  #222  1-0     Treasure checkmated or captured     235 plies   10.2s  (211/300)
  [w0]  #229  0-1     Party extinct                       350 plies   15.0s  (212/300)
  [w2]  #211  0-1     Party extinct                       260 plies   11.2s  (213/300)
  [w3]  #188  0-1     Party extinct                       322 plies   13.9s  (214/300)
  [w1]  #226  1-0     Treasure checkmated or captured     181 plies    8.0s  (215/300)
  [w2]  #215  0-1     Party extinct                       284 plies   12.3s  (216/300)
  [w1]  #230  0-1     Party extinct                       238 plies   10.4s  (217/300)
  [w0]  #233  1-0     Treasure checkmated or captured     365 plies   15.6s  (218/300)
  [w2]  #219  0-1     Party extinct                       170 plies    7.5s  (219/300)
  [w0]  #237  1-0     Treasure checkmated or captured     179 plies    7.8s  (220/300)
  [w2]  #223  0-1     Party extinct                       178 plies    7.8s  (221/300)
  [w3]  #192  *       ply cap (600)                       600 plies   25.5s  (222/300)
  [w3]  #196  1-0     Treasure checkmated or captured       1 plies    0.4s  (223/300)
  [w0]  #241  1-0     Treasure checkmated or captured     167 plies    7.4s  (224/300)
  [w3]  #200  0-1     Party extinct                       202 plies    8.8s  (225/300)
  [w1]  #234  *       ply cap (600)                       600 plies   25.5s  (226/300)
  [w2]  #227  1-0     Treasure checkmated or captured     257 plies   11.2s  (227/300)
  [w0]  #245  0-1     Party extinct                       218 plies    9.5s  (228/300)
  [w3]  #204  1-0     Treasure checkmated or captured     237 plies   10.3s  (229/300)
  [w1]  #238  1-0     Treasure checkmated or captured     223 plies    9.7s  (230/300)
  [w0]  #249  0-1     Party extinct                       238 plies   10.3s  (231/300)
  [w2]  #231  1-0     Treasure checkmated or captured     383 plies   16.4s  (232/300)
  [w0]  #253  1-0     Treasure checkmated or captured     141 plies    6.2s  (233/300)
  [w3]  #208  1-0     Treasure checkmated or captured     185 plies    8.1s  (234/300)
  [w1]  #242  1-0     Treasure checkmated or captured     333 plies   14.3s  (235/300)
  [w3]  #212  1-0     Treasure checkmated or captured     179 plies    7.8s  (236/300)
  [w2]  #235  0-1     Party extinct                       194 plies    8.5s  (237/300)
  [w0]  #257  0-1     Party extinct                       186 plies    8.1s  (238/300)
  [w3]  #216  0-1     Party extinct                       136 plies    6.0s  (239/300)
  [w2]  #239  0-1     Party extinct                       234 plies   10.2s  (240/300)
  [w1]  #246  1-0     Treasure checkmated or captured     325 plies   14.0s  (241/300)
  [w3]  #220  0-1     Party extinct                       314 plies   13.5s  (242/300)
  [w0]  #261  *       ply cap (600)                       600 plies   25.5s  (243/300)
  [w3]  #224  1-0     Treasure checkmated or captured     169 plies    7.5s  (244/300)
  [w2]  #243  *       ply cap (600)                       600 plies   25.5s  (245/300)
  [w3]  #228  0-1     Party extinct                       234 plies   10.2s  (246/300)
  [w1]  #250  *       ply cap (600)                       600 plies   25.5s  (247/300)
  [w2]  #247  0-1     Party extinct                       146 plies    6.5s  (248/300)
  [w1]  #254  1-0     Treasure checkmated or captured     181 plies    7.9s  (249/300)
  [w0]  #265  *       ply cap (600)                       600 plies   25.6s  (250/300)
  [w2]  #251  1-0     Treasure checkmated or captured     245 plies   10.7s  (251/300)
  [w1]  #258  1-0     Treasure checkmated or captured     225 plies    9.9s  (252/300)
  [w2]  #255  1-0     Treasure checkmated or captured     123 plies    5.5s  (253/300)
  [w3]  #232  0-1     Party extinct                       536 plies   22.8s  (254/300)
  [w2]  #259  1-0     Treasure checkmated or captured     117 plies    5.2s  (255/300)
  [w1]  #262  0-1     Party extinct                       218 plies    9.5s  (256/300)
  [w2]  #263  0-1     Party has no legal response          60 plies    2.9s  (257/300)
  [w3]  #236  0-1     Party extinct                       156 plies    6.9s  (258/300)
  [w2]  #267  0-1     Party has no legal response         162 plies    7.1s  (259/300)
  [w3]  #240  0-1     Party extinct                       154 plies    6.8s  (260/300)
  [w0]  #269  *       ply cap (600)                       600 plies   25.5s  (261/300)
  [w3]  #244  1-0     Treasure checkmated or captured     169 plies    7.4s  (262/300)
  [w0]  #273  0-1     Party extinct                       172 plies    7.5s  (263/300)
  [w3]  #248  0-1     Party extinct                       102 plies    4.7s  (264/300)
  [w1]  #266  *       ply cap (600)                       600 plies   25.4s  (265/300)
  [w3]  #252  0-1     Party extinct                       136 plies    6.0s  (266/300)
  [w0]  #277  0-1     Party extinct                       218 plies    9.5s  (267/300)
  [w2]  #271  *       ply cap (600)                       600 plies   25.5s  (268/300)
  [w3]  #256  1-0     Treasure checkmated or captured     225 plies    9.7s  (269/300)
  [w1]  #270  1-0     Treasure checkmated or captured     251 plies   10.9s  (270/300)
  [w0]  #281  0-1     Party extinct                       288 plies   12.4s  (271/300)
  [w2]  #275  1-0     Treasure checkmated or captured     203 plies    8.9s  (272/300)
  [w1]  #274  1-0     Treasure checkmated or captured     169 plies    7.4s  (273/300)
  [w3]  #260  0-1     Party extinct                       244 plies   10.6s  (274/300)
  [w2]  #279  1-0     Treasure checkmated or captured     105 plies    4.7s  (275/300)
  [w0]  #285  0-1     Party extinct                       252 plies   10.9s  (276/300)
  [w1]  #278  1-0     Treasure checkmated or captured     179 plies    7.9s  (277/300)
  [w3]  #264  1-0     Treasure checkmated or captured     273 plies   11.8s  (278/300)
  [w2]  #283  0-1     Party extinct                       264 plies   11.4s  (279/300)
  [w1]  #282  0-1     Party extinct                       192 plies    8.5s  (280/300)
  [w0]  #289  1-0     Treasure checkmated or captured     367 plies   15.8s  (281/300)
  [w2]  #287  1-0     Treasure checkmated or captured     237 plies   10.4s  (282/300)
  [w1]  #286  1-0     Treasure checkmated or captured     205 plies    9.0s  (283/300)
  [w0]  #293  1-0     Treasure checkmated or captured      65 plies    3.1s  (284/300)
  [w2]  #291  1-0     Treasure checkmated or captured     197 plies    8.6s  (285/300)
  [w0]  #297  1-0     Treasure checkmated or captured     169 plies    7.5s  (286/300)
  [w3]  #268  *       ply cap (600)                       600 plies   25.6s  (287/300)
  [w1]  #290  0-1     Party extinct                       372 plies   16.0s  (288/300)
  [w2]  #295  0-1     Party extinct                       202 plies    8.8s  (289/300)
  [w1]  #294  0-1     Party extinct                       120 plies    5.3s  (290/300)
  [w1]  #298  1-0     Treasure checkmated or captured      43 plies    2.1s  (291/300)
  [w3]  #272  0-1     Party extinct                       402 plies   17.3s  (292/300)
  [w2]  #299  *       ply cap (600)                       600 plies   25.5s  (293/300)
  [w3]  #276  0-1     Party extinct                       250 plies   11.1s  (294/300)
  [w3]  #280  1-0     Treasure checkmated or captured     113 plies    5.1s  (295/300)
  [w3]  #284  *       ply cap (600)                       600 plies   25.6s  (296/300)
  [w3]  #288  1-0     Treasure checkmated or captured     213 plies    9.4s  (297/300)
  [w3]  #292  0-1     Party extinct                       194 plies    8.7s  (298/300)
  [w3]  #296  0-1     Party extinct                       288 plies   12.8s  (299/300)
  [w3]  #300  1-0     Treasure checkmated or captured     183 plies    8.2s  (300/300)

========================================================
  Rule set    : v7-d8-spsa-final-iterate
  Games       : 300
--------------------------------------------------------
  Party wins  :  111  ( 37.0%)
  Horde wins  :  155  ( 51.7%)
  Unfinished  :   34  ( 11.3%)
--------------------------------------------------------
  Decisive      :  88.7%
  Party(decisive):  41.7%   95% CI [ 36.0% ..  47.7%]
  Imbalance     :  16.5%   (0% = perfectly balanced decisive games)
  Median plies  : 210  (decisive games)

  COMPOSITE SCORE : 0.740   (1.0 = balanced & decisive)
========================================================
  total time : 893.2s  (2.98s / game, 4x)
  pgn        : reports/v7-overnight/confirm-final.pgn
