Match: rule-set 'v5-d8-striker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-striker-range-61864-63420651273245b8aa72ececc2aeaad1.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w0]  #209  *       ply cap (600)                       600 plies   26.5s  (218/300)
  [w1]  #202  0-1     Party extinct                       334 plies   15.0s  (219/300)
  [w3]  #228  *       ply cap (600)                       600 plies   26.6s  (220/300)
  [w2]  #239  *       ply cap (600)                       600 plies   26.5s  (221/300)
  [w0]  #213  *       ply cap (600)                       600 plies   26.5s  (222/300)
  [w2]  #243  1-0     Treasure checkmated or captured      57 plies    2.8s  (223/300)
  [w1]  #206  0-1     Party extinct                       560 plies   24.9s  (224/300)
  [w2]  #247  0-1     Party extinct                       106 plies    4.9s  (225/300)
  [w1]  #210  0-1     Party extinct                       250 plies   11.3s  (226/300)
  [w3]  #232  *       ply cap (600)                       600 plies   26.6s  (227/300)
  [w0]  #217  *       ply cap (600)                       600 plies   26.5s  (228/300)
  [w2]  #251  *       ply cap (600)                       600 plies   26.5s  (229/300)
  [w1]  #214  0-1     Party extinct                       594 plies   26.3s  (230/300)
  [w1]  #218  1-0     Treasure checkmated or captured       5 plies    0.5s  (231/300)
  [w3]  #236  *       ply cap (600)                       600 plies   26.5s  (232/300)
  [w0]  #221  *       ply cap (600)                       600 plies   26.5s  (233/300)
  [w0]  #225  0-1     Party extinct                       108 plies    5.0s  (234/300)
  [w2]  #255  *       ply cap (600)                       600 plies   26.5s  (235/300)
  [w1]  #222  *       ply cap (600)                       600 plies   26.5s  (236/300)
  [w3]  #240  *       ply cap (600)                       600 plies   26.5s  (237/300)
  [w1]  #226  0-1     Party extinct                       136 plies    6.3s  (238/300)
  [w2]  #259  0-1     Party extinct                       440 plies   19.6s  (239/300)
  [w0]  #229  0-1     Party extinct                       498 plies   22.1s  (240/300)
  [w1]  #230  1-0     Treasure checkmated or captured      69 plies    3.3s  (241/300)
  [w2]  #263  1-0     Treasure checkmated or captured     449 plies   20.0s  (242/300)
  [w3]  #244  *       ply cap (600)                       600 plies   26.6s  (243/300)
  [w0]  #233  0-1     Party extinct                       540 plies   23.9s  (244/300)
  [w1]  #234  *       ply cap (600)                       600 plies   26.5s  (245/300)
  [w2]  #267  *       ply cap (600)                       600 plies   26.6s  (246/300)
  [w3]  #248  *       ply cap (600)                       600 plies   26.6s  (247/300)
  [w0]  #237  *       ply cap (600)                       600 plies   26.5s  (248/300)
  [w1]  #238  *       ply cap (600)                       600 plies   26.6s  (249/300)
  [w3]  #252  0-1     Party extinct                       164 plies    7.5s  (250/300)
  [w0]  #241  1-0     Treasure checkmated or captured     133 plies    6.1s  (251/300)
  [w0]  #245  0-1     Party extinct                       150 plies    6.9s  (252/300)
  [w2]  #271  *       ply cap (600)                       600 plies   26.6s  (253/300)
  [w1]  #242  *       ply cap (600)                       600 plies   26.6s  (254/300)
  [w3]  #256  0-1     Party extinct                       552 plies   24.4s  (255/300)
  [w1]  #246  0-1     Party extinct                        88 plies    4.2s  (256/300)
  [w3]  #260  0-1     Party extinct                       106 plies    4.9s  (257/300)
  [w0]  #249  *       ply cap (600)                       600 plies   26.4s  (258/300)
  [w3]  #264  0-1     Party extinct                       196 plies    8.6s  (259/300)
  [w2]  #275  *       ply cap (600)                       600 plies   26.1s  (260/300)
  [w1]  #250  0-1     Party extinct                       504 plies   21.7s  (261/300)
  [w0]  #253  *       ply cap (600)                       600 plies   25.5s  (262/300)
  [w3]  #268  *       ply cap (600)                       600 plies   25.5s  (263/300)
