Match: rule-set 'v5-d8-minion-9'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v5-d8-minion-9-6972-1415d66083474cbfa185e6e952dbedd4.ini
  startFen : 4abtba3/m1mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w2]  #195  0-1     Party extinct                       248 plies   10.5s  (169/300)
  [w0]  #197  0-1     Party extinct                       186 plies    7.9s  (170/300)
  [w3]  #204  *       ply cap (600)                       600 plies   25.3s  (171/300)
  [w0]  #201  0-1     Party extinct                       128 plies    5.5s  (172/300)
  [w2]  #199  *       ply cap (600)                       600 plies   25.3s  (173/300)
  [w0]  #205  0-1     Party extinct                       476 plies   20.2s  (174/300)
  [w3]  #208  *       ply cap (600)                       600 plies   25.4s  (175/300)
  [w3]  #212  0-1     Party extinct                       168 plies    7.1s  (176/300)
  [w0]  #209  0-1     Party extinct                       316 plies   13.5s  (177/300)
  [w2]  #203  *       ply cap (600)                       600 plies   25.3s  (178/300)
  [w3]  #216  0-1     Party extinct                       316 plies   13.4s  (179/300)
  [w2]  #207  0-1     Party extinct                       258 plies   11.0s  (180/300)
  [w0]  #213  *       ply cap (600)                       600 plies   25.3s  (181/300)
  [w0]  #217  0-1     Party extinct                       216 plies    9.2s  (182/300)
  [w3]  #220  *       ply cap (600)                       600 plies   25.3s  (183/300)
  [w2]  #211  *       ply cap (600)                       600 plies   25.4s  (184/300)
  [w0]  #221  0-1     Party extinct                       364 plies   15.4s  (185/300)
  [w3]  #224  *       ply cap (600)                       600 plies   25.3s  (186/300)
  [w2]  #215  0-1     Party extinct                       430 plies   18.2s  (187/300)
  [w3]  #228  0-1     Party extinct                       110 plies    4.7s  (188/300)
  [w0]  #225  *       ply cap (600)                       600 plies   25.4s  (189/300)
  [w2]  #219  *       ply cap (600)                       600 plies   25.3s  (190/300)
  [w3]  #232  *       ply cap (600)                       600 plies   25.5s  (191/300)
  [w3]  #236  0-1     Party has no legal response         168 plies    7.2s  (192/300)
  [w2]  #223  0-1     Party extinct                       594 plies   25.0s  (193/300)
  [w3]  #240  *       ply cap (600)                       600 plies   25.3s  (194/300)
  [w3]  #244  0-1     Party extinct                       152 plies    6.5s  (195/300)
  [w2]  #227  *       ply cap (600)                       600 plies   25.3s  (196/300)
  [w3]  #248  0-1     Party extinct                       318 plies   13.4s  (197/300)
  [w3]  #252  0-1     Party extinct                       208 plies    8.8s  (198/300)
  [w2]  #231  *       ply cap (600)                       600 plies   25.2s  (199/300)
  [w3]  #256  *       ply cap (600)                       600 plies   25.2s  (200/300)
