Match: rule-set 'v5-d8-lurker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-lurker-range-62409-d352d2a6124d4e1ea334a7a9a1df7f10.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w2]  #159  *       ply cap (600)                       600 plies   26.5s  (173/300)
  [w1]  #210  0-1     Party extinct                       122 plies    5.7s  (174/300)
  [w1]  #214  0-1     Party extinct                        72 plies    3.5s  (175/300)
  [w0]  #185  0-1     Party extinct                       554 plies   24.6s  (176/300)
  [w3]  #144  *       ply cap (600)                       600 plies   26.6s  (177/300)
  [w2]  #163  *       ply cap (600)                       600 plies   26.6s  (178/300)
  [w0]  #189  0-1     Party extinct                       264 plies   12.0s  (179/300)
  [w1]  #218  *       ply cap (600)                       600 plies   26.6s  (180/300)
  [w3]  #148  0-1     Party extinct                       472 plies   21.1s  (181/300)
  [w3]  #152  0-1     Party extinct                       176 plies    8.0s  (182/300)
  [w1]  #222  0-1     Party extinct                       412 plies   18.9s  (183/300)
  [w2]  #167  *       ply cap (600)                       600 plies   26.6s  (184/300)
  [w0]  #193  *       ply cap (600)                       600 plies   26.5s  (185/300)
  [w1]  #226  0-1     Party extinct                       348 plies   15.6s  (186/300)
  [w3]  #156  1-0     Treasure checkmated or captured     477 plies   21.3s  (187/300)
  [w2]  #171  *       ply cap (600)                       600 plies   26.6s  (188/300)
  [w0]  #197  0-1     Party extinct                       580 plies   25.8s  (189/300)
  [w2]  #175  0-1     Party extinct                       144 plies    6.7s  (190/300)
  [w2]  #179  0-1     Party extinct                        94 plies    4.5s  (191/300)
  [w0]  #201  1-0     Treasure checkmated or captured     249 plies   11.3s  (192/300)
  [w1]  #230  *       ply cap (600)                       600 plies   26.6s  (193/300)
  [w3]  #160  *       ply cap (600)                       600 plies   26.6s  (194/300)
  [w1]  #234  0-1     Party extinct                       324 plies   14.5s  (195/300)
  [w3]  #164  0-1     Party extinct                       264 plies   12.0s  (196/300)
  [w0]  #205  0-1     Party extinct                       400 plies   17.9s  (197/300)
  [w2]  #183  *       ply cap (600)                       600 plies   26.6s  (198/300)
  [w0]  #209  0-1     Party extinct                       194 plies    9.0s  (199/300)
  [w2]  #187  0-1     Party extinct                       200 plies    9.1s  (200/300)
  [w0]  #213  0-1     Party extinct                       256 plies   11.5s  (201/300)
  [w1]  #238  *       ply cap (600)                       600 plies   26.6s  (202/300)
  [w3]  #168  *       ply cap (600)                       600 plies   26.6s  (203/300)
  [w2]  #191  1-0     Treasure checkmated or captured     275 plies   12.5s  (204/300)
  [w2]  #195  1-0     Treasure checkmated or captured      73 plies    3.5s  (205/300)
  [w0]  #217  0-1     Party extinct                       276 plies   12.5s  (206/300)
  [w1]  #242  0-1     Party extinct                       218 plies    9.9s  (207/300)
  [w1]  #246  0-1     Party extinct                       218 plies   10.0s  (208/300)
  [w2]  #199  1-0     Treasure checkmated or captured     313 plies   14.0s  (209/300)
  [w3]  #172  0-1     Party extinct                       588 plies   26.1s  (210/300)
